Time (min),C (md.ft),Inj. P (psi)
356.01,94.81,21.4
357.01,96.44,21.4
358.01,94.74,21.2
359.01,93.69,21.4
360.01,92.05,21.4
361.01,91.38,21.4
362.01,90.04,21.4
363.01,90.07,21.2
364.01,88.32,21.4
365.01,87.35,21.4
366.01,90.18,21.4
367.01,89.28,21.4
368.01,87.92,21.2
369.01,91.6,21.4
370.01,93.27,21.4
371.01,94.55,21.2
372.01,95.63,21.2
373.01,96.42,21.4
374.01,96.36,21.4
375.01,93.54,21.4
376.01,94.54,21.2
377.01,93.93,21.2
378.01,92.3,21.4
379.01,91.62,21.4
380.01,88.83,21.4
381.01,80.22,21.8
382.01,86.55,21.8
383.01,89.18,21.8
384.01,89.98,21.8
385.01,91.37,21.8
386.01,91.58,21.6
387.01,91.49,21.8
388.01,90.87,21.6
389.01,90.56,21.8
390.01,88.68,21.6
391.01,87.57,21.6
392.01,86.58,21.8
393.01,87.29,21.8
394.01,90.85,21.8
395.01,94.94,21.6
396.01,97.03,21.6
397.01,97.04,21.6
398.01,95.95,21.6
399.01,97.12,21.6
400.01,96.67,21.4
401.01,95.31,21.6
402.01,97.13,21.6
403.01,96.16,21.4
404.01,93.72,21.6
405.01,95.4,21.6
406.01,94.12,21.4
407.01,94.98,21.4
408.01,95.38,21.6
409.01,95.53,21.4
410.01,93.42,21.6
411.01,95.12,21.6
412.01,94.19,21.6
413.01,93.28,21.6
414.01,90.52,21.6
415.01,90.04,21.6
416.01,90.99,21.6
417.01,87.99,21.6
418.01,87.71,21.6
419.01,87.53,21.6
420.01,87.06,21.4
421.01,86.99,21.4
422.01,84.39,21.6
423.01,84.45,21.6
424.01,83.47,21.6
425.01,85.55,21.6
426.01,84,21.6
427.01,84.42,21.4
428.01,83.71,21.6
429.01,82.25,21.6
430.01,80.77,21.4
431.01,81.76,21.4
432.01,81.21,21.6
433.01,79.02,21.6
434.01,77.68,21.6
435.01,78.91,21.6
436.01,81.53,21.4
437.01,82.69,21.4
438.01,81.66,21.6
439.01,83.96,21.6
440.01,82.29,21.6
441.01,82.69,21.6
442.01,83.5,21.4
443.01,84.61,21.4
444.01,85.37,21.4
445.01,86.77,21.4
